afghanistan,asia,southern asia
åland islands,europe,northern europe
albania,europe,southern europe
algeria,africa,northern africa
american samoa,oceania,polynesia
andorra,europe,southern europe
angola,africa,sub-saharan africa
anguilla,americas,latin america and the caribbean
antarctica,,
antigua and barbuda,americas,latin america and the caribbean
argentina,americas,latin america and the caribbean
armenia,asia,western asia
aruba,americas,latin america and the caribbean
australia,oceania,australia and new zealand
austria,europe,western europe
azerbaijan,asia,western asia
bahamas,americas,latin america and the caribbean
bahrain,asia,western asia
bangladesh,asia,southern asia
barbados,americas,latin america and the caribbean
belarus,europe,eastern europe
belgium,europe,western europe
belize,americas,latin america and the caribbean
benin,africa,sub-saharan africa
bermuda,americas,northern america
bhutan,asia,southern asia
bolivia,americas,latin america and the caribbean
"bonaire, sint eustatius and saba",americas,latin america and the caribbean
bosnia and herzegovina,europe,southern europe
botswana,africa,sub-saharan africa
bouvet island,americas,latin america and the caribbean
brazil,americas,latin america and the caribbean
british indian ocean territory,africa,sub-saharan africa
brunei darussalam,asia,south-eastern asia
bulgaria,europe,eastern europe
burkina faso,africa,sub-saharan africa
burundi,africa,sub-saharan africa
cabo verde,africa,sub-saharan africa
cambodia,asia,south-eastern asia
cameroon,africa,sub-saharan africa
canada,americas,northern america
cayman islands,americas,latin america and the caribbean
central african republic,africa,sub-saharan africa
chad,africa,sub-saharan africa
chile,americas,latin america and the caribbean
china,asia,eastern asia
christmas island,oceania,australia and new zealand
cocos,oceania,australia and new zealand
colombia,americas,latin america and the caribbean
comoros,africa,sub-saharan africa
congo,africa,sub-saharan africa
dem. rep. of the congo,africa,sub-saharan africa
cook islands,oceania,polynesia
costa rica,americas,latin america and the caribbean
côte d’ivoire,africa,sub-saharan africa
croatia,europe,southern europe
cuba,americas,latin america and the caribbean
curaçao,americas,latin america and the caribbean
cyprus,asia,western asia
czechia,europe,eastern europe
denmark,europe,northern europe
djibouti,africa,sub-saharan africa
dominica,americas,latin america and the caribbean
dominican republic,americas,latin america and the caribbean
ecuador,americas,latin america and the caribbean
egypt,africa,northern africa
el salvador,americas,latin america and the caribbean
equatorial guinea,africa,sub-saharan africa
eritrea,africa,sub-saharan africa
estonia,europe,northern europe
eswatini,africa,sub-saharan africa
ethiopia,africa,sub-saharan africa
falkland islands,americas,latin america and the caribbean
faroe islands,europe,northern europe
fiji,oceania,melanesia
finland,europe,northern europe
france,europe,western europe
french guiana,americas,latin america and the caribbean
french polynesia,oceania,polynesia
french southern territories,africa,sub-saharan africa
gabon,africa,sub-saharan africa
gambia,africa,sub-saharan africa
georgia,asia,western asia
germany,europe,western europe
ghana,africa,sub-saharan africa
gibraltar,europe,southern europe
greece,europe,southern europe
greenland,americas,northern america
grenada,americas,latin america and the caribbean
guadeloupe,americas,latin america and the caribbean
guam,oceania,micronesia
guatemala,americas,latin america and the caribbean
guernsey,europe,northern europe
guinea,africa,sub-saharan africa
guinea-bissau,africa,sub-saharan africa
guyana,americas,latin america and the caribbean
haiti,americas,latin america and the caribbean
heard island and mcdonald islands,oceania,australia and new zealand
holy see,europe,southern europe
honduras,americas,latin america and the caribbean
hong kong,asia,eastern asia
hungary,europe,eastern europe
iceland,europe,northern europe
india,asia,southern asia
indonesia,asia,south-eastern asia
iran,asia,southern asia
iraq,asia,western asia
ireland,europe,northern europe
isle of man,europe,northern europe
israel,asia,western asia
italy,europe,southern europe
jamaica,americas,latin america and the caribbean
