andorra,24.1359,2005-2010,Primary
angola,33.96615,2005-2010,Primary
anguilla,33.97705,2005-2010,Primary
antigua and barbuda,41.6132,2005-2010,Primary
argentina,34.1957,2005-2010,Primary
aruba,26.7322,2005-2010,Primary
australia,34.6246,2005-2010,Primary
austria,18.9953,2005-2010,Primary
bangladesh,44.728,2005-2010,Primary
barbados,32.3752,2005-2010,Primary
benin,45.97,2005-2010,Primary
bermuda,40.7473,2005-2010,Primary
bhutan,22.3168,2005-2010,Primary
botswana,23.92655,2005-2010,Primary
brazil,34.0156,2005-2010,Primary
british virgin islands,31.0953,2005-2010,Primary
bulgaria,20.3,2005-2010,Primary
burkina faso,69.1074,2005-2010,Primary
burundi,51.5574,2005-2010,Primary
cabo verde,40.20305,2005-2010,Primary
cameroon,35.0643,2005-2010,Primary
cayman islands,47.6164,2005-2010,Primary
chad,45.7849,2005-2010,Primary
chile,36.8972,2005-2010,Primary
"china, hong kong sar",23.107,2005-2010,Primary
colombia,47.437,2005-2010,Primary
comoros,61.7259,2005-2010,Primary
congo,27.2544,2005-2010,Primary
cuba,30.22605,2005-2010,Primary
cyprus,27.305,2005-2010,Primary
czechia,14.5215,2005-2010,Primary
denmark,23.2601,2005-2010,Primary
djibouti,19.0141,2005-2010,Primary
dominican republic,58.679,2005-2010,Primary
el salvador,44.4958,2005-2010,Primary
estonia,25.2957,2005-2010,Primary
eswatini,39.8591,2005-2010,Primary
finland,20.7598,2005-2010,Primary
gambia,61.4463,2005-2010,Primary
georgia,35.9998,2005-2010,Primary
ghana,39.4537,2005-2010,Primary
guatemala,59.7898,2005-2010,Primary
hungary,20.0893,2005-2010,Primary
iceland,35.0258,2005-2010,Primary
india,35.5893,2005-2010,Primary
iran,22.4395,2005-2010,Primary
ireland,33.6461,2005-2010,Primary
israel,37.5044,2005-2010,Primary
italy,24.5795,2005-2010,Primary
jamaica,33.2067,2005-2010,Primary
kenya,54.1088,2005-2010,Primary
kuwait,20.12325,2005-2010,Primary
lao people's dem. rep.,62.5326,2005-2010,Primary
lesotho,39.5152,2005-2010,Primary
liechtenstein,30.816650000000003,2005-2010,Primary
lithuania,14.9172,2005-2010,Primary
madagascar,53.572,2005-2010,Primary
malaysia,27.6763,2005-2010,Primary
maldives,54.1295,2005-2010,Primary
mauritius,27.1653,2005-2010,Primary
mexico,39.0791,2005-2010,Primary
morocco,36.62925,2005-2010,Primary
mozambique,57.6559,2005-2010,Primary
namibia,47.6008,2005-2010,Primary
norway,25.024,2005-2010,Primary
oman,41.74465,2005-2010,Primary
peru,35.5932,2005-2010,Primary
philippines,53.4846,2005-2010,Primary
poland,30.9588,2005-2010,Primary
portugal,30.6402,2005-2010,Primary
qatar,17.6384,2005-2010,Primary
romania,13.7699,2005-2010,Primary
saint vincent & grenadines,40.9659,2005-2010,Primary
senegal,41.8092,2005-2010,Primary
slovakia,17.1402,2005-2010,Primary
south africa,42.9478,2005-2010,Primary
spain,25.7744,2005-2010,Primary
sweden,26.238,2005-2010,Primary
switzerland,29.6854,2005-2010,Primary
syrian arab republic,38.8728,2005-2010,Primary
