afghanistan,74.16125,2005-2010,Primary
albania,100.9562,2005-2010,Primary
algeria,103.3146,2005-2010,Primary
anguilla,118.32575,2005-2010,Primary
argentina,114.7471,2005-2010,Primary
armenia,96.345,2005-2010,Primary
aruba,107.8111,2005-2010,Primary
australia,103.5759,2005-2010,Primary
austria,100.7537,2005-2010,Primary
azerbaijan,92.7838,2005-2010,Primary
bahamas,98.8475,2005-2010,Primary
bahrain,99.2573,2005-2010,Primary
bangladesh,104.66829999999999,2005-2010,Primary
barbados,95.9429,2005-2010,Primary
belarus,96.7394,2005-2010,Primary
belgium,100.233,2005-2010,Primary
belize,110.7629,2005-2010,Primary
benin,88.9544,2005-2010,Primary
bermuda,100.6143,2005-2010,Primary
bhutan,89.8837,2005-2010,Primary
bolivia,114.8849,2005-2010,Primary
botswana,108.85965,2005-2010,Primary
brazil,128.6763,2005-2010,Primary
british virgin islands,109.26825,2005-2010,Primary
brunei darussalam,108.4104,2005-2010,Primary
bulgaria,102.8019,2005-2010,Primary
burkina faso,51.8041,2005-2010,Primary
burundi,74.6891,2005-2010,Primary
cabo verde,111.7254,2005-2010,Primary
cambodia,122.85955,2005-2010,Primary
cameroon,96.42295,2005-2010,Primary
canada,96.9387,2005-2010,Primary
central african republic,62.00515,2005-2010,Primary
chad,57.7772,2005-2010,Primary
chile,102.1463,2005-2010,Primary
"china, macao sar",96.7806,2005-2010,Primary
colombia,120.4072,2005-2010,Primary
comoros,104.1426,2005-2010,Primary
congo,104.07685000000001,2005-2010,Primary
cook islands,83.3071,2005-2010,Primary
costa rica,110.3871,2005-2010,Primary
croatia,103.3175,2005-2010,Primary
cuba,99.577,2005-2010,Primary
cyprus,100.7913,2005-2010,Primary
czechia,98.4871,2005-2010,Primary
côte d’ivoire,64.1348,2005-2010,Primary
dem. people's rep. korea,99.3668,2005-2010,Primary
dem. rep. of the congo,92.7868,2005-2010,Primary
denmark,98.6751,2005-2010,Primary
djibouti,48.843999999999994,2005-2010,Primary
dominica,91.5356,2005-2010,Primary
dominican republic,105.5479,2005-2010,Primary
eastern asia,103.1627,2005-2010,Primary
ecuador,109.3061,2005-2010,Primary
egypt,93.053,2005-2010,Primary
el salvador,116.119,2005-2010,Primary
equatorial guinea,88.4918,2005-2010,Primary
eritrea,100.7539,2005-2010,Primary
estonia,97.5818,2005-2010,Primary
eswatini,110.039,2005-2010,Primary
ethiopia,71.9123,2005-2010,Primary
europe,101.3141,2005-2010,Primary
fiji,104.0121,2005-2010,Primary
finland,98.0327,2005-2010,Primary
france,104.1135,2005-2010,Primary
gambia,80.9452,2005-2010,Primary
