afghanistan,112.883,2005-2010,Primary
algeria,171.471,2005-2010,Primary
andorra,0.433,2005-2010,Primary
anguilla,0.097,2005-2010,Primary
argentina,284.0625,2005-2010,Primary
armenia,6.255,2005-2010,Primary
aruba,0.567,2005-2010,Primary
austria,29.239,2005-2010,Primary
azerbaijan,42.243,2005-2010,Primary
bangladesh,353.128,2005-2010,Primary
barbados,1.5110000000000001,2005-2010,Primary
belarus,23.671,2005-2010,Primary
belgium,64.278,2005-2010,Primary
belize,2.127,2005-2010,Primary
benin,28.148,2005-2010,Primary
bermuda,0.571,2005-2010,Primary
bhutan,3.203,2005-2010,Primary
botswana,12.964,2005-2010,Primary
brazil,886.781,2005-2010,Primary
british virgin islands,0.21300000000000002,2005-2010,Primary
brunei darussalam,4.1434999999999995,2005-2010,Primary
bulgaria,17.873,2005-2010,Primary
burkina faso,26.938,2005-2010,Primary
burundi,21.289,2005-2010,Primary
cabo verde,3.19,2005-2010,Primary
cambodia,50.654,2005-2010,Primary
cameroon,65.912,2005-2010,Primary
cayman islands,0.281,2005-2010,Primary
central african republic,5.539999999999999,2005-2010,Primary
central asia,242.4217,2005-2010,Primary
chad,23.6885,2005-2010,Primary
chile,66.06,2005-2010,Primary
"china, hong kong sar",24.591,2005-2010,Primary
"china, macao sar",1.609,2005-2010,Primary
colombia,183.852,2005-2010,Primary
comoros,3.685,2005-2010,Primary
congo,10.433,2005-2010,Primary
cook islands,0.137,2005-2010,Primary
costa rica,25.399,2005-2010,Primary
croatia,11.198,2005-2010,Primary
cuba,86.827,2005-2010,Primary
cyprus,3.455,2005-2010,Primary
czechia,30.589,2005-2010,Primary
côte d’ivoire,56.575,2005-2010,Primary
dem. people's rep. korea,70.298,2005-2010,Primary
dem. rep. of the congo,274.453,2005-2010,Primary
djibouti,1.627,2005-2010,Primary
dominica,0.519,2005-2010,Primary
dominican republic,53.015,2005-2010,Primary
eastern asia,6683.2843,2005-2010,Primary
ecuador,87.247,2005-2010,Primary
egypt,377.796,2005-2010,Primary
el salvador,27.628,2005-2010,Primary
eritrea,7.942,2005-2010,Primary
estonia,7.516,2005-2010,Primary
eswatini,6.823499999999999,2005-2010,Primary
ethiopia,234.215,2005-2010,Primary
europe,2672.9975,2005-2010,Primary
fiji,3.939,2005-2010,Primary
finland,24.577,2005-2010,Primary
france,216.411,2005-2010,Primary
gambia,5.616,2005-2010,Primary
georgia,33.511,2005-2010,Primary
germany,234.107,2005-2010,Primary
ghana,99.893,2005-2010,Primary
gibraltar,0.203,2005-2010,Primary
greece,60.445499999999996,2005-2010,Primary
