T07,"Teaching staff at the primary, secondary and tertiary levels",,,,,
Region/Country/Area,,Year,Series,Value,Footnotes,Source
1,"Total, all countries or areas",2005,Teachers at primary level (thousands),26889.6238,Estimate.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2020."
1,"Total, all countries or areas",2005,Pupil-teacher ratio in primary education,25.2484,Estimate.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2020."
1,"Total, all countries or areas",2005,Teachers at secondary level (thousands),28494.4120,Estimate.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2020."
1,"Total, all countries or areas",2005,Pupil-teacher ratio in secondary education,17.8721,Estimate.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2020."
1,"Total, all countries or areas",2005,Teachers at tertiary level (thousands),9228.9159,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2020."
1,"Total, all countries or areas",2010,Teachers at primary level (thousands),28671.0171,Estimate.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2020."
1,"Total, all countries or areas",2010,Pupil-teacher ratio in primary education,24.3103,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2020."
1,"Total, all countries or areas",2010,Teachers at secondary level (thousands),32336.4343,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2020."
1,"Total, all countries or areas",2010,Pupil-teacher ratio in secondary education,16.8909,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2020."
1,"Total, all countries or areas",2010,Teachers at tertiary level (thousands),11150.6143,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2020."
1,"Total, all countries or areas",2015,Teachers at primary level (thousands),31161.4205,Estimate.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2020."
1,"Total, all countries or areas",2015,Pupil-teacher ratio in primary education,23.1059,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2020."
1,"Total, all countries or areas",2015,Teachers at secondary level (thousands),33478.7472,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2020."
1,"Total, all countries or areas",2015,Pupil-teacher ratio in secondary education,17.4134,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2020."
1,"Total, all countries or areas",2015,Teachers at tertiary level (thousands),12918.0126,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2020."
1,"Total, all countries or areas",2018,Teachers at primary level (thousands),32019.5983,Estimate.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2020."
